complaint,category,priority
kindly fix this room has seepage in my room this needs to be repaired,Maintenance,Medium
the problem is that someone entered the room without permission on the third floor please get this fixed soon,Security,High
please check this food is too spicy in the hostel room can someone look into this,Mess/Food,Low
i am facing an issue where garbage is lying outside the room in block c this needs to be repaired,Cleaning,Medium
my room has an issue water is collecting on the bathroom floor on the third floor please send someone to check,Plumbing,Medium
the problem is that device cannot connect to wifi in the hostel room i need help with this,Internet,Medium
i noticed that ceiling is leaking on the third floor please send someone to check,Maintenance,High
kindly fix this there is not enough food in the mess in block a kindly resolve this,Mess/Food,Medium
there is a problem because room needs maintenance in my room please send someone to check,Maintenance,Medium
my room has an issue bathroom is dirty near my room kindly resolve this,Cleaning,Medium
i noticed that study table is damaged in block c kindly resolve this,Furniture,Medium
please check this fan is making a strange noise in my room please get this fixed soon,Electrical,Medium
please check this sewage smell is coming from the drain this needs to be repaired,Plumbing,Medium
please check this hostel entrance is not secure on the third floor please send someone to check,Security,Medium
there are cockroaches in my room in block a i need help with this,Pest Control,Medium
there is a problem because washroom needs cleaning on the second floor please get this fixed soon,Cleaning,Medium
in my room toilet flush is not working in block c can someone look into this,Plumbing,Medium
i am facing an issue where shower has very low pressure in room,Plumbing,Medium
in my room cupboard door is broken can someone look into this,Furniture,Medium
the problem is that door cannot be locked in room i need help with this,Security,Medium
kindly fix this bed is making noise kindly resolve this,Furniture,Medium
please check this room cupboard is damaged on the third floor this needs to be repaired,Furniture,Medium
there is a problem because electrical switch is sparking on the third floor kindly resolve this,Electrical,Medium
i noticed that bed bugs are present in the hostel room this needs to be repaired,Pest Control,High
there is a problem because electrical switch is sparking in block c i need help with this,Electrical,Medium
i am facing an issue where garbage has not been collected near my room can someone look into this,Cleaning,Medium
i am facing an issue where pest infestation in the room in block a i need help with this,Pest Control,High
i want to report that room has mosquitoes in my room please fix it,Pest Control,Medium
in my room cockroach infestation needs treatment in room,Pest Control,Medium
door is damaged in room kindly resolve this,Maintenance,Medium
i am facing an issue where hostel entrance is not secure near my room please fix it,Security,Medium
window glass is cracked near my room can someone look into this,Maintenance,Medium
i want to report that fan is making a strange noise in the hostel room,Electrical,Medium
in my room fan regulator is not working on the second floor please fix it,Electrical,Medium
i want to report that dirty water is on the floor in block c please fix it,Cleaning,Medium
in my room room lock is broken on the second floor can someone look into this,Security,High
i want to report that night lamp is not working near my room kindly resolve this,Electrical,Medium
in my room fan regulator is not working in room please fix it,Electrical,Medium
i am facing an issue where common area is not clean in my room please get this fixed soon,Cleaning,Medium
i am facing an issue where sewage smell is coming from the drain in block b please get this fixed soon,Plumbing,Medium
i noticed that drawer is broken in the hostel room kindly resolve this,Furniture,Medium
there is a problem because food is repetitive on the third floor kindly resolve this,Mess/Food,Low
in my room door latch is broken in room please get this fixed soon,Security,Medium
i noticed that dryer is not heating near my room this needs to be repaired,Laundry,Medium
i want to report that water pressure is very low please get this fixed soon,Plumbing,Medium
please check this wardrobe lock is damaged in my room this needs to be repaired,Furniture,Medium
i noticed that wash basin is clogged in the hostel room please get this fixed soon,Plumbing,Medium
there is a problem because chair leg is loose near my room,Furniture,Medium
i want to report that shelf is broken in my room please get this fixed soon,Furniture,Medium
i want to report that food tastes bad in block b please fix it,Mess/Food,Medium
i want to report that mess area is dirty in room please fix it,Mess/Food,Medium
i want to report that door is getting stuck in block a please get this fixed soon,Maintenance,Medium
there is a problem because shower is not working in block b i need help with this,Plumbing,Medium
i want to report that cleaning staff has not visited in block c can someone look into this,Cleaning,Medium
i am facing an issue where room has mosquitoes in block a i need help with this,Pest Control,Medium
laundry machine is not starting please fix it,Laundry,Medium
there is a problem because cockroaches are coming from the bathroom in room please get this fixed soon,Pest Control,Medium
my room has an issue window glass is cracked in block c can someone look into this,Maintenance,Medium
my room has an issue dustbin has not been emptied on the third floor please get this fixed soon,Cleaning,Medium
kindly fix this room needs pest control in block a can someone look into this,Pest Control,Medium
kindly fix this laundry room is closed in block c this needs to be repaired,Laundry,Medium
there is a problem because internet speed is very low in room can someone look into this,Internet,Medium
in my room security guard is not present in room can someone look into this,Security,High
the problem is that garbage is lying outside the room near my room can someone look into this,Cleaning,Medium
my room has an issue power socket is damaged in block c please get this fixed soon,Electrical,Medium
i noticed that room smells unpleasant on the second floor can someone look into this,Cleaning,Medium
i am facing an issue where laundry machine is not starting in the hostel room this needs to be repaired,Laundry,Medium
i noticed that wifi does not reach my room properly this needs to be repaired,Internet,Medium
in my room bathroom tap is leaking in block a can someone look into this,Plumbing,Medium
i noticed that there is a termite problem on the third floor this needs to be repaired,Pest Control,Medium
i am facing an issue where power is not available in my room in my room this needs to be repaired,Electrical,High
in my room cleaning staff has not visited this needs to be repaired,Cleaning,Medium
there is a problem because wall paint is peeling on the third floor i need help with this,Maintenance,Low
in my room there is not enough food in the mess in room please get this fixed soon,Mess/Food,Medium
please check this room has not been swept in the hostel room please fix it,Cleaning,Low
i am facing an issue where wardrobe lock is damaged in room,Furniture,Medium
cctv camera is not working on the second floor please fix it,Security,Medium
my room has an issue water in the mess is not clean in room please fix it,Mess/Food,Medium
i noticed that wifi signal is weak in my room this needs to be repaired,Internet,Low
kindly fix this floor tile is broken please get this fixed soon,Maintenance,Medium
i am facing an issue where room light keeps flickering in my room,Electrical,Medium
i want to report that back gate is open this needs to be repaired,Security,Medium
the problem is that ac is leaking water in block a i need help with this,Electrical,Medium
i noticed that door is damaged on the third floor please send someone to check,Maintenance,Medium
there is a problem because wifi keeps disconnecting on the second floor can someone look into this,Internet,Medium
there is a problem because food is too spicy in block b,Mess/Food,Low
the problem is that shelf is broken on the second floor,Furniture,Medium
i noticed that sewage smell is coming from the drain in my room,Plumbing,Medium
please check this charging point is not working in room,Electrical,Medium
the problem is that dryer is not heating on the second floor please get this fixed soon,Laundry,Medium
there is a problem because drawer is broken in the hostel room please fix it,Furniture,Medium
kindly fix this water is continuously dripping in room please get this fixed soon,Plumbing,Medium
in my room wifi is not working near my room this needs to be repaired,Internet,High
the problem is that network is extremely slow in block c kindly resolve this,Internet,Medium
i noticed that wardrobe lock is damaged in room please fix it,Furniture,Medium
there is a problem because no water in the bathroom near my room this needs to be repaired,Plumbing,High
my room has an issue insects are present in the bathroom in block a please send someone to check,Pest Control,Medium
kindly fix this hostel entrance is not secure on the second floor,Security,Medium
i noticed that dinner is served late in block b i need help with this,Mess/Food,Medium
i am facing an issue where door latch is broken in block a kindly resolve this,Security,Medium
i noticed that water is continuously dripping in my room can someone look into this,Plumbing,Medium
kindly fix this shower is not working near my room can someone look into this,Plumbing,Medium
kindly fix this study table is broken in my room please send someone to check,Furniture,Medium
there is a problem because ceiling is leaking in the hostel room please get this fixed soon,Maintenance,High
in my room ac is leaking water near my room,Electrical,Medium
i want to report that mess plates are dirty in block b please get this fixed soon,Mess/Food,Medium
kindly fix this room has mosquitoes on the second floor,Pest Control,Medium
i am facing an issue where cleaning staff has not visited on the second floor please fix it,Cleaning,Medium
i am facing an issue where wifi works only sometimes on the third floor please send someone to check,Internet,Medium
please check this room light keeps flickering on the second floor this needs to be repaired,Electrical,Medium
i want to report that room cleaning has not been done in block c can someone look into this,Cleaning,Medium
there is a problem because water pressure is very low in room,Plumbing,Medium
i want to report that flies are everywhere on the second floor please fix it,Pest Control,Medium
i am facing an issue where food is too oily in room please fix it,Mess/Food,Low
please check this dryer is not heating in room please get this fixed soon,Laundry,Medium
in my room there is no internet in my room in block c kindly resolve this,Internet,High
there is a problem because drawer is broken in room please get this fixed soon,Furniture,Medium
the problem is that room has seepage in my room please get this fixed soon,Maintenance,Medium
the problem is that washroom needs cleaning can someone look into this,Cleaning,Medium
kindly fix this garbage is lying outside the room in block c please fix it,Cleaning,Medium
the problem is that flies are everywhere in room please get this fixed soon,Pest Control,Medium
there is a problem because toilet is overflowing on the third floor please get this fixed soon,Plumbing,High
in my room wash basin is clogged in room please send someone to check,Plumbing,Medium
clothes are getting damaged in the machine in block b this needs to be repaired,Laundry,Medium
please check this room light keeps flickering please send someone to check,Electrical,Medium
in my room dustbin is overflowing on the second floor i need help with this,Cleaning,Medium
i want to report that mosquito problem is severe in block b kindly resolve this,Pest Control,Medium
please check this water supply is not available in block a please get this fixed soon,Plumbing,High
i want to report that table leg is broken in my room i need help with this,Furniture,Low
washroom needs cleaning in block c can someone look into this,Cleaning,Medium
i noticed that door hinge is loose on the second floor please send someone to check,Maintenance,Medium
room is very dirty on the second floor i need help with this,Cleaning,Medium
please check this fan regulator is not working on the third floor kindly resolve this,Electrical,Medium
in my room food is undercooked in room i need help with this,Mess/Food,Medium
the problem is that laundry machine is not starting in the hostel room,Laundry,Medium
my room has an issue mess menu is not being followed in room this needs to be repaired,Mess/Food,Medium
kindly fix this mattress is uncomfortable and damaged on the third floor please send someone to check,Furniture,Medium
in my room room key is not working in the hostel room please get this fixed soon,Security,Medium
please check this wall has water damage in block c,Maintenance,Medium
i want to report that ac is not cooling in room,Electrical,Medium
in my room toilet water is not draining on the second floor i need help with this,Plumbing,Medium
i am facing an issue where network is extremely slow in room can someone look into this,Internet,Medium
dinner is served late can someone look into this,Mess/Food,Medium
kindly fix this door hinge is loose on the second floor please get this fixed soon,Maintenance,Medium
i want to report that dryer is not heating in block a please send someone to check,Laundry,Medium
i want to report that cutlery is not clean in block b can someone look into this,Mess/Food,Medium
i am facing an issue where pipe has burst on the third floor kindly resolve this,Plumbing,High
in my room network is extremely slow in the hostel room this needs to be repaired,Internet,Medium
i noticed that ceiling plaster is falling on the third floor,Maintenance,High
please check this hostel entrance is not secure in block c i need help with this,Security,Medium
the problem is that washing machine has a strange noise on the third floor,Laundry,Medium
please check this ac is not cooling near my room this needs to be repaired,Electrical,Medium
there is a problem because toilet is overflowing in block b please send someone to check,Plumbing,High
my room has an issue dustbin has not been emptied in room can someone look into this,Cleaning,Medium
my room has an issue device cannot connect to wifi i need help with this,Internet,Medium
there is a problem because window glass is cracked in my room,Maintenance,Medium
i am facing an issue where there is a termite problem in the hostel room please get this fixed soon,Pest Control,Medium
there is a problem because bathroom drain is clogged in my room please send someone to check,Plumbing,Medium
please check this toilet water is not draining on the second floor can someone look into this,Plumbing,Medium
the problem is that wall has cracks on the second floor please get this fixed soon,Maintenance,Medium
please check this curtain rod is broken in room can someone look into this,Maintenance,Low
please check this bathroom tap is broken in block c can someone look into this,Plumbing,Medium
i am facing an issue where room smells unpleasant this needs to be repaired,Cleaning,Medium
in my room washing machine is overloaded in room can someone look into this,Laundry,Medium
kindly fix this laundry room equipment is damaged in my room i need help with this,Laundry,Medium
please check this laundry machine keeps stopping in my room i need help with this,Laundry,Medium
in my room door hinge is loose on the third floor please send someone to check,Maintenance,Medium
in my room there are rats in the hostel in block c kindly resolve this,Pest Control,High
kindly fix this hostel entrance is not secure in room can someone look into this,Security,Medium
in my room there are rats in the hostel near my room,Pest Control,High
i noticed that exhaust fan is not working in block b please get this fixed soon,Electrical,Medium
i am facing an issue where cockroaches are coming from the bathroom near my room this needs to be repaired,Pest Control,Medium
i am facing an issue where pipe is leaking on the second floor this needs to be repaired,Plumbing,Medium
i am facing an issue where food is not fresh near my room can someone look into this,Mess/Food,High
my room has an issue water is leaking from the ceiling can someone look into this,Plumbing,Medium
kindly fix this geyser is not working in the hostel room kindly resolve this,Electrical,High
i want to report that unauthorized person entered the hostel in the hostel room this needs to be repaired,Security,High
my room has an issue geyser is not working in block b please send someone to check,Electrical,High
please check this flies are everywhere in room kindly resolve this,Pest Control,Medium
kindly fix this bed has bed bugs please send someone to check,Pest Control,High
in my room door cannot be locked in room this needs to be repaired,Security,Medium
there is a problem because cockroaches are coming from the bathroom on the third floor can someone look into this,Pest Control,Medium
kindly fix this shelf is broken in room kindly resolve this,Furniture,Medium
device cannot connect to wifi in block a can someone look into this,Internet,Medium
i want to report that laundry room is closed on the second floor please get this fixed soon,Laundry,Medium
my room has an issue food quality is poor in block b,Mess/Food,Medium
the problem is that internet speed is very low in block c i need help with this,Internet,Medium
the problem is that power socket is damaged in room this needs to be repaired,Electrical,Medium
please check this there are cockroaches in my room on the third floor can someone look into this,Pest Control,Medium
please check this drawer is stuck in room please fix it,Furniture,Medium
in my room room has mosquitoes in the hostel room,Pest Control,Medium
kindly fix this dustbin has not been emptied in room please get this fixed soon,Cleaning,Medium
i want to report that there is no internet in my room on the second floor can someone look into this,Internet,High
the problem is that electricity keeps going off in block a please send someone to check,Electrical,Medium
there is a problem because mosquito problem is severe on the third floor please send someone to check,Pest Control,Medium
please check this corridor is dirty in room kindly resolve this,Cleaning,Medium
my room has an issue study table is damaged in my room kindly resolve this,Furniture,Medium
there are rats in the hostel in room can someone look into this,Pest Control,High
mess food is cold in block a please send someone to check,Mess/Food,Medium
i noticed that washing machine is broken in the hostel room please get this fixed soon,Laundry,Medium
i am facing an issue where breakfast is not available in room please fix it,Mess/Food,Medium
there is a problem because toilet flush is not working in the hostel room please send someone to check,Plumbing,Medium
i want to report that water in the mess is not clean in the hostel room please fix it,Mess/Food,Medium
please check this mess menu is not being followed on the second floor,Mess/Food,Medium
please check this unauthorized person entered the hostel in the hostel room kindly resolve this,Security,High
kindly fix this ants are everywhere near my room this needs to be repaired,Pest Control,Medium
please check this mess menu is not being followed on the third floor please get this fixed soon,Mess/Food,Medium
my room has an issue lost room key needs replacement please fix it,Security,Medium
there is a problem because flies are everywhere on the third floor please fix it,Pest Control,Medium
please check this water supply is not available on the third floor kindly resolve this,Plumbing,High
my room has an issue room has mosquitoes in block b can someone look into this,Pest Control,Medium
i noticed that water supply is not available on the second floor,Plumbing,High
i am facing an issue where food is undercooked on the third floor please fix it,Mess/Food,Medium
i want to report that ants are everywhere near my room please get this fixed soon,Pest Control,Medium
please check this laundry machine keeps stopping on the third floor please get this fixed soon,Laundry,Medium
kindly fix this geyser water is not coming on the second floor can someone look into this,Plumbing,Medium
i noticed that internet connection drops frequently near my room please get this fixed soon,Internet,Medium
kindly fix this room has seepage near my room please get this fixed soon,Maintenance,Medium
hot water is not available in block b i need help with this,Plumbing,Medium
kindly fix this chair is broken in block a kindly resolve this,Furniture,Medium
please check this drawer is stuck in my room please get this fixed soon,Furniture,Medium
the problem is that washing machine has a strange noise in room this needs to be repaired,Laundry,Medium
visitor entered without permission near my room i need help with this,Security,Medium
i noticed that washing machine is not working on the third floor kindly resolve this,Laundry,Medium
my room has an issue ceiling plaster is falling in block c,Maintenance,High
i want to report that toilet water is not draining on the second floor please send someone to check,Plumbing,Medium
there is a problem because power socket is damaged in block b i need help with this,Electrical,Medium
i am facing an issue where water is collecting on the bathroom floor on the third floor kindly resolve this,Plumbing,Medium
the problem is that room cupboard is damaged near my room,Furniture,Medium
i noticed that ants are entering the room in block b please fix it,Pest Control,Medium
i am facing an issue where network signal is poor in room this needs to be repaired,Internet,Medium
the problem is that door handle is broken in block a,Maintenance,Medium
there is a problem because water in the mess is not clean in my room please fix it,Mess/Food,Medium
please check this laundry service is unavailable in block c i need help with this,Laundry,Medium
i want to report that socket has no power in the hostel room please send someone to check,Electrical,Medium
kindly fix this mess food is cold in block c please get this fixed soon,Mess/Food,Medium
i want to report that exhaust fan is not working near my room please fix it,Electrical,Medium
my room has an issue chair is broken near my room can someone look into this,Furniture,Medium
my room has an issue curtain rod is broken in my room,Maintenance,Low
in my room wifi signal is weak in block a,Internet,Low
kindly fix this bathroom has a bad smell near my room please fix it,Cleaning,Medium
kindly fix this laundry area is dirty on the third floor please fix it,Laundry,Medium
please check this lost room key needs replacement near my room,Security,Medium
kindly fix this door is damaged this needs to be repaired,Maintenance,Medium
in my room laundry room is closed in room kindly resolve this,Laundry,Medium
kindly fix this vegetarian food is not available near my room please send someone to check,Mess/Food,Medium
i am facing an issue where wifi keeps disconnecting near my room please fix it,Internet,Medium
i want to report that tiles are loose in room please get this fixed soon,Maintenance,Medium
there is a problem because internet is very slow in my room i need help with this,Internet,Low
the problem is that chair is broken in block c please fix it,Furniture,Medium
i am facing an issue where bathroom tap is leaking near my room can someone look into this,Plumbing,Medium
please check this washing machine is broken on the second floor i need help with this,Laundry,Medium
my room has an issue door hinge is loose kindly resolve this,Maintenance,Medium
i want to report that there is not enough food in the mess kindly resolve this,Mess/Food,Medium
the problem is that door lock is not working near my room please send someone to check,Security,High
in my room cutlery is not clean in block a can someone look into this,Mess/Food,Medium
i noticed that study table is broken in block a kindly resolve this,Furniture,Medium
kindly fix this bathroom tap is leaking on the second floor this needs to be repaired,Plumbing,Medium
sewage smell is coming from the drain on the third floor please get this fixed soon,Plumbing,Medium
i am facing an issue where laundry service is unavailable in block b,Laundry,Medium
my room has an issue ants are everywhere in room please get this fixed soon,Pest Control,Medium
please check this washing machine is not working this needs to be repaired,Laundry,Medium
curtain is damaged in room please send someone to check,Maintenance,Low
i am facing an issue where room has a bad smell on the third floor please get this fixed soon,Cleaning,Medium
i noticed that mattress is damaged in room kindly resolve this,Furniture,Medium
the problem is that room smells unpleasant on the third floor this needs to be repaired,Cleaning,Medium
please check this hot water is not available near my room this needs to be repaired,Plumbing,Medium
i noticed that geyser water is not coming on the third floor can someone look into this,Plumbing,Medium
my room has an issue mess food is cold near my room please send someone to check,Mess/Food,Medium
the problem is that window is broken on the second floor please send someone to check,Maintenance,Medium
please check this shower has very low pressure on the second floor please fix it,Plumbing,Medium
bed has bed bugs in room kindly resolve this,Pest Control,High
there is a problem because toilet water is not draining near my room kindly resolve this,Plumbing,Medium
there is a problem because curtain rod is broken in room,Maintenance,Low
i noticed that internet is very slow in block c i need help with this,Internet,Low
my room has an issue hostel network is down on the third floor please send someone to check,Internet,High
please check this study table is broken on the third floor can someone look into this,Furniture,Medium
there is a problem because bathroom tap is leaking in block b this needs to be repaired,Plumbing,Medium
i am facing an issue where toilet is overflowing in room i need help with this,Plumbing,High
my room has an issue internet speed is very low in block a,Internet,Medium
i want to report that drawer is broken in the hostel room,Furniture,Medium
network is extremely slow in block c this needs to be repaired,Internet,Medium
i want to report that mattress is damaged on the third floor this needs to be repaired,Furniture,Medium
the problem is that bed has bed bugs in block c can someone look into this,Pest Control,High
washing machine is broken near my room please fix it,Laundry,Medium
insects are present in the bathroom near my room please get this fixed soon,Pest Control,Medium
mess area is dirty near my room please get this fixed soon,Mess/Food,Medium
i noticed that food is repetitive in block b can someone look into this,Mess/Food,Low
i noticed that bathroom tap is broken on the third floor please fix it,Plumbing,Medium
i want to report that window does not close in block a i need help with this,Maintenance,Medium
there is a problem because mattress is damaged in room please fix it,Furniture,Medium
kindly fix this laundry service is unavailable in block b kindly resolve this,Laundry,Medium
kindly fix this laundry machine is not starting kindly resolve this,Laundry,Medium
kindly fix this washing machine is broken on the third floor,Laundry,Medium
there is a problem because ants are everywhere in block b i need help with this,Pest Control,Medium
there is a problem because device cannot connect to wifi in block c please get this fixed soon,Internet,Medium
the problem is that door is damaged in the hostel room i need help with this,Maintenance,Medium
my room has an issue flies are everywhere in my room i need help with this,Pest Control,Medium
the problem is that laundry area is dirty in block a please fix it,Laundry,Medium
i want to report that dinner is served late in my room this needs to be repaired,Mess/Food,Medium
mosquito problem is severe on the third floor this needs to be repaired,Pest Control,Medium
please check this door is damaged on the third floor please fix it,Maintenance,Medium
mess area is dirty in room can someone look into this,Mess/Food,Medium
my room has an issue washing machine is not working near my room i need help with this,Laundry,Medium
the problem is that room has not been swept kindly resolve this,Cleaning,Low
mosquitoes are too many near my room please get this fixed soon,Pest Control,Medium
there is a problem because door lock is not working in room i need help with this,Security,High
i want to report that internet connection drops frequently in my room kindly resolve this,Internet,Medium
mess menu is not being followed in block b kindly resolve this,Mess/Food,Medium
in my room mattress is damaged in block c,Furniture,Medium
in my room mattress is uncomfortable and damaged in block b i need help with this,Furniture,Medium
the problem is that bathroom has water leakage on the second floor please fix it,Plumbing,Medium
i am facing an issue where window does not close in block c can someone look into this,Maintenance,Medium
kindly fix this network is extremely slow on the second floor please fix it,Internet,Medium
in my room food quality is poor in room can someone look into this,Mess/Food,Medium
kindly fix this room needs maintenance in block c please send someone to check,Maintenance,Medium
i am facing an issue where window is broken in the hostel room can someone look into this,Maintenance,Medium
please check this bathroom is dirty in block a please fix it,Cleaning,Medium
please check this ants are everywhere in block b can someone look into this,Pest Control,Medium
please check this dinner is served late in block c i need help with this,Mess/Food,Medium
wifi keeps asking for login on the second floor i need help with this,Internet,Medium
my room has an issue laundry area is dirty in room please send someone to check,Laundry,Medium
my room has an issue wall paint is peeling in room can someone look into this,Maintenance,Low
my room has an issue cleaning staff has not visited in room i need help with this,Cleaning,Medium
i noticed that door is damaged in the hostel room this needs to be repaired,Maintenance,Medium
kindly fix this study table is damaged on the third floor i need help with this,Furniture,Medium
in my room mess plates are dirty in block a please get this fixed soon,Mess/Food,Medium
there is a problem because dryer is not working in my room please get this fixed soon,Laundry,Medium
there is a problem because room has a bad smell in block a please send someone to check,Cleaning,Medium
my room has an issue internet connection is unstable near my room can someone look into this,Internet,Medium
i am facing an issue where washing machine is leaking near my room please fix it,Laundry,Medium
in my room ceiling is leaking in block c can someone look into this,Maintenance,High
the problem is that door handle is broken in block c please get this fixed soon,Maintenance,Medium
my room has an issue wifi signal is weak in block c,Internet,Low
in my room room has not been swept near my room i need help with this,Cleaning,Low
the problem is that cleaning staff has not visited on the third floor,Cleaning,Medium
i noticed that network is extremely slow in block a,Internet,Medium
i am facing an issue where cockroach infestation needs treatment near my room please fix it,Pest Control,Medium
food tastes bad in the hostel room i need help with this,Mess/Food,Medium
there is a problem because room cupboard is damaged in block a this needs to be repaired,Furniture,Medium
bathroom is dirty in room please fix it,Cleaning,Medium
the problem is that back gate is open on the third floor i need help with this,Security,Medium
wall has cracks in block a please get this fixed soon,Maintenance,Medium
i want to report that room has mosquitoes in block b kindly resolve this,Pest Control,Medium
i want to report that cockroaches are coming from the bathroom on the second floor,Pest Control,Medium
my room has an issue room needs pest control in room can someone look into this,Pest Control,Medium
in my room ceiling has cracks in my room can someone look into this,Maintenance,Medium
food is overcooked i need help with this,Mess/Food,Medium
my room has an issue food is too spicy in block a,Mess/Food,Low
there is a problem because door is getting stuck this needs to be repaired,Maintenance,Medium
i am facing an issue where dinner is served late near my room,Mess/Food,Medium
please check this visitor entered without permission in block a,Security,Medium
my room has an issue there is a termite problem this needs to be repaired,Pest Control,Medium
the problem is that back gate is open in block b please send someone to check,Security,Medium
the problem is that dryer keeps shutting down near my room this needs to be repaired,Laundry,Medium
there is a problem because room light keeps flickering in block a please fix it,Electrical,Medium
i am facing an issue where network is extremely slow on the third floor i need help with this,Internet,Medium
please check this curtain rod is broken near my room this needs to be repaired,Maintenance,Low
toilet water is not draining in block b can someone look into this,Plumbing,Medium
i noticed that door latch is broken in room can someone look into this,Security,Medium
in my room bulb has fused in block c,Electrical,Low
there is a problem because cctv camera is not working in block b this needs to be repaired,Security,Medium
kindly fix this wash basin tap is broken near my room please get this fixed soon,Plumbing,Medium
in my room ceiling has cracks near my room please get this fixed soon,Maintenance,Medium
i am facing an issue where mess area is dirty in block a,Mess/Food,Medium
food portion is too small near my room please get this fixed soon,Mess/Food,Medium
there is a problem because there is not enough food in the mess kindly resolve this,Mess/Food,Medium
in my room flies are everywhere in block c can someone look into this,Pest Control,Medium
in my room laundry room is closed in block a this needs to be repaired,Laundry,Medium
the problem is that charging point is not working on the second floor kindly resolve this,Electrical,Medium
i want to report that main gate is left open in the hostel room,Security,Medium
my room has an issue wifi is unavailable in my room i need help with this,Internet,Medium
i noticed that dryer is not working in block c please fix it,Laundry,Medium
kindly fix this door latch is broken in block b please send someone to check,Security,Medium
please check this room needs maintenance in the hostel room i need help with this,Maintenance,Medium
kindly fix this drawer is stuck in room please get this fixed soon,Furniture,Medium
someone entered the room without permission on the second floor kindly resolve this,Security,High
i want to report that mess area is dirty in block c please get this fixed soon,Mess/Food,Medium
in my room internet connection is unstable in block c i need help with this,Internet,Medium
my room has an issue room cleaning has not been done in my room can someone look into this,Cleaning,Medium
please check this laundry area is dirty,Laundry,Medium
i am facing an issue where garbage is lying outside the room in block a can someone look into this,Cleaning,Medium
washing machine is overloaded in block a please fix it,Laundry,Medium
in my room mess plates are dirty in my room please send someone to check,Mess/Food,Medium
i want to report that internet is very slow in room this needs to be repaired,Internet,Low
please check this switch is not working in room,Electrical,Medium
i want to report that washing machine is leaking in block a this needs to be repaired,Laundry,Medium
i noticed that wall has cracks near my room i need help with this,Maintenance,Medium
i am facing an issue where ants are everywhere near my room please send someone to check,Pest Control,Medium
the problem is that ceiling is leaking on the second floor can someone look into this,Maintenance,High
in my room washing machine is overloaded in my room kindly resolve this,Laundry,Medium
kindly fix this hostel gate is not locking near my room i need help with this,Security,High
i noticed that dryer keeps shutting down in room please get this fixed soon,Laundry,Medium
there is a problem because wall is damp in block c please get this fixed soon,Maintenance,Medium
my room has an issue power socket is damaged in room can someone look into this,Electrical,Medium
i want to report that mess food is cold in the hostel room i need help with this,Mess/Food,Medium
there is a problem because laundry room is closed near my room please fix it,Laundry,Medium
the problem is that hostel entrance is not secure in my room this needs to be repaired,Security,Medium
i want to report that study chair is damaged i need help with this,Furniture,Medium
there is a problem because door lock is not working in room please get this fixed soon,Security,High
kindly fix this power is fluctuating in room i need help with this,Electrical,Medium
the problem is that geyser is not working in room this needs to be repaired,Electrical,High
i want to report that dryer keeps shutting down in my room kindly resolve this,Laundry,Medium
i want to report that food is not fresh in block a please fix it,Mess/Food,High
i want to report that wifi does not reach my room properly in block c,Internet,Medium
please check this toilet water is not draining on the third floor please fix it,Plumbing,Medium
i noticed that ac is leaking water in the hostel room please get this fixed soon,Electrical,Medium
i want to report that food is not fresh in block a can someone look into this,Mess/Food,High
there is a problem because internet speed is very low in room please get this fixed soon,Internet,Medium
i noticed that study chair is damaged in room can someone look into this,Furniture,Medium
my room has an issue laundry machine is not starting in block b,Laundry,Medium
i want to report that room cleaning has not been done in my room i need help with this,Cleaning,Medium
in my room there is no internet in my room in block a please fix it,Internet,High
mattress is uncomfortable and damaged in room please get this fixed soon,Furniture,Medium
my room has an issue window is broken on the second floor kindly resolve this,Maintenance,Medium
i noticed that room cleaning has not been done near my room,Cleaning,Medium
kindly fix this unauthorized person entered the hostel on the third floor please get this fixed soon,Security,High
kindly fix this drawer is broken in block a please get this fixed soon,Furniture,Medium
please check this drain is blocked in room this needs to be repaired,Plumbing,Medium
my room has an issue power socket is damaged in room i need help with this,Electrical,Medium
kindly fix this drawer is broken in room please fix it,Furniture,Medium
the problem is that ceiling plaster is falling in block b kindly resolve this,Maintenance,High
water supply is not available in block b,Plumbing,High
kindly fix this cockroaches are coming from the bathroom near my room please send someone to check,Pest Control,Medium
i want to report that door lock is not working on the third floor can someone look into this,Security,High
there is a problem because water in the mess is not clean in my room please send someone to check,Mess/Food,Medium
i noticed that insects are coming into the room in block b,Pest Control,Medium
please check this night lamp is not working on the second floor kindly resolve this,Electrical,Medium
i noticed that food is overcooked in block b please fix it,Mess/Food,Medium
please check this ceiling fan stopped working in my room this needs to be repaired,Electrical,Medium
please check this pipe is leaking in the hostel room i need help with this,Plumbing,Medium
there is a problem because ac is not cooling please send someone to check,Electrical,Medium
i noticed that mattress is uncomfortable and damaged on the third floor,Furniture,Medium
in my room room has not been swept in block c this needs to be repaired,Cleaning,Low
kindly fix this sewage smell is coming from the drain in room i need help with this,Plumbing,Medium
there is a problem because laundry machine keeps stopping in room can someone look into this,Laundry,Medium
there is a problem because wifi signal is weak in my room kindly resolve this,Internet,Low
i want to report that laundry machine keeps stopping in room please get this fixed soon,Laundry,Medium
kindly fix this ceiling fan stopped working in room please fix it,Electrical,Medium
please check this vegetarian food is not available in room,Mess/Food,Medium
dustbin is overflowing in room this needs to be repaired,Cleaning,Medium
i noticed that washing machine has a strange noise in block a please get this fixed soon,Laundry,Medium
i noticed that washing machine is not working on the third floor please send someone to check,Laundry,Medium
in my room laundry area is dirty in room can someone look into this,Laundry,Medium
